年月,平均湿度(％),平均気温(℃),日照時間(時間)
1988/1,71,3.7,52.8
1988/2,67,0.8,58.6
1988/3,66,4.9,107.5
1988/4,66,10.7,189.3
1988/5,69,15.2,193.1
1988/6,74,20.3,153.0
1988/7,75,22.6,134.4
1988/8,70,27.2,214.7
1988/9,72,22.5,148.1
1988/10,67,15.1,155.9
1988/11,71,8.0,83.1
1988/12,69,5.1,73.5
1989/1,70,4.8,74.3
1989/2,68,4.4,77.8
1989/3,66,6.9,118.3
1989/4,65,11.7,194.7
1989/5,68,16.1,179.4
1989/6,70,19.8,162.1
1989/7,71,24.4,226.2
1989/8,70,26.6,209.4
1989/9,77,21.9,82.7
1989/10,68,15.7,146.9
1989/11,71,11.7,76.9
1989/12,69,6.1,63.4
1990/1,71,1.9,52.8
1990/2,69,5.6,54.6
1990/3,64,7.1,132.8
1990/4,67,12.1,183.0
1990/5,70,16.5,195.9
1990/6,73,21.9,174.3
1990/7,71,25.3,193.5
1990/8,69,27.4,268.0
1990/9,71,23.4,126.6
1990/10,72,17.1,147.0
1990/11,73,12.6,89.5
1990/12,71,7.5,64.8
1991/1,72,3.0,51.8
1991/2,72,2.4,50.2
1991/3,66,5.7,123.2
1991/4,65,12.0,232.5
1991/5,68,16.4,223.0
1991/6,75,22.1,155.2
1991/7,80,24.0,130.1
1991/8,75,24.9,187.1
1991/9,74,22.7,147.1
1991/10,73,16.8,82.6
1991/11,72,9.8,93.7
1991/12,71,6.4,72.1
1992/1,72,3.9,53.4
1992/2,72,2.9,69.7
1992/3,70,6.5,94.7
1992/4,67,11.8,176.8
1992/5,70,14.8,177.0
1992/6,72,19.7,212.8
1992/7,75,24.2,175.9
1992/8,71,26.2,216.4
1992/9,66,21.9,151.7
1992/10,72,16.1,144.3
1992/11,70,10.9,106.8
1992/12,71,6.2,39.8
1993/1,65,4.1,52.1
1993/2,62,4.5,72.2
1993/3,65,5.6,124.5
1993/4,61,10.2,161.6
1993/5,70,15.2,214.9
1993/6,80,19.4,114.6
1993/7,78,22.8,125.7
1993/8,76,23.3,99.0
1993/9,75,20.9,121.8
1993/10,69,15.2,138.9
1993/11,73,11.6,93.7
1993/12,71,5.6,60.4
1994/1,76,2.5,68.5
1994/2,68,3.2,80.6
1994/3,65,4.5,119.2
1994/4,60,11.9,223.3
1994/5,63,17.6,212.9
1994/6,75,20.4,170.8
1994/7,77,26.3,231.5
1994/8,71,28.9,292.6
1994/9,73,23.9,152.1
1994/10,71,18.0,137.4
1994/11,70,10.8,93.8
1994/12,73,5.6,58.4
1995/1,74,2.4,52.3
1995/2,67,3.2,79.1
1995/3,66,6.1,120.8
1995/4,62,12.0,192.4
1995/5,70,16.6,173.0
1995/6,75,19.6,133.4
1995/7,81,24.2,127.8
1995/8,77,26.8,185.2
1995/9,73,21.0,132.8
1995/10,70,17.6,152.2
1995/11,68,9.6,98.2
1995/12,74,4.7,40.6
1996/1,72,2.5,70.8
1996/2,71,1.9,84.0
1996/3,67,5.3,134.0
1996/4,62,9.7,199.9
1996/5,72,15.1,197.8
1996/6,78,20.3,135.5
1996/7,76,24.9,183.2
1996/8,71,25.9,243.5
1996/9,73,21.3,173.0
1996/10,70,16.2,171.3
1996/11,74,10.4,66.3
1996/12,74,5.6,67.2
1997/1,73,3.5,52.1
1997/2,70,3.5,101.7
1997/3,66,6.3,154.4
1997/4,71,11.2,151.9
1997/5,71,17.0,173.3
1997/6,79,20.7,175.1
1997/7,79,24.8,194.2
1997/8,74,26.0,216.7
1997/9,76,21.4,89.6
1997/10,71,15.3,170.6
1997/11,73,11.6,108.0
1997/12,73,6.3,84.2
1998/1,81,2.2,25.7
1998/2,74,3.7,83.8
1998/3,67,6.7,141.2
1998/4,74,13.6,125.3
1998/5,73,18.3,218.2
1998/6,77,20.4,109.1
1998/7,74,25.5,200.3
1998/8,82,25.1,111.2
1998/9,77,23.8,147.9
1998/10,74,18.3,121.3
1998/11,72,10.3,99.1
1998/12,74,6.3,56.5
1999/1,74,3.1,61.4
1999/2,74,2.6,75.3
1999/3,67,6.7,138.5
1999/4,68,12.0,162.5
1999/5,67,16.8,236.6
1999/6,76,20.8,159.5
1999/7,77,25.2,186.6
1999/8,71,28.3,230.4
1999/9,76,24.1,153.0
1999/10,72,17.1,145.1
1999/11,77,11.3,100.5
1999/12,78,5.3,47.0
2000/1,76,4.4,51.4
2000/2,75,2.2,61.1
2000/3,68,5.4,111.2
2000/4,66,11.4,171.5
2000/5,74,17.2,188.8
2000/6,78,20.8,162.8
2000/7,78,26.0,205.7
2000/8,73,28.2,288.9
2000/9,75,23.7,155.5
2000/10,74,16.5,138.8
2000/11,73,10.9,86.4
2000/12,73,5.1,70.7
2001/1,76,1.5,45.0
2001/2,76,2.1,69.5
